DAY,영어,뜻
10,fame,n. 명성
11,heritage ,n. 유산
11,recognize ,v. 인정하다
11,abroad ,adv. 해외에서
11,pop culture ,n. 대중문화
11,Korean Wave ,한류
11,pop music ,n. 대중음악
11,top ,v. ~의 정상에 이르다
11,attract ,v. ~의 마음을 끌다
11,beyond ,"prep. ~ 너머, ~을 초월한"
11,pay attention to ~,~에 주의를 기울이다
11,take a look at ~,"~에 시선을 가져가다, ~을 살펴보다"
11,restoration ,n. 복원
11,asset ,"n. 자산, 재산"
11,repair ,v. 수리[수선]하다
11,damaged ,a. 손상된 
11,decay ,"v. 부패하다, 썩다 "
11,furniture ,n. [집합] 가구류
11,sculpture ,n. 조각품
11,fill ~ in ,~을 채우다[메우다]
11,crack ,"n. 틈, 균열"
11,purpose ,n. 목적 
11,exception ,n. 예외
11,value ,n. 가치
11,handmade ,a. 수제의
11,convince ,v. 설득하다
11,comparison ,n. 비교
11,carry ~ out ,~을 수행하다
11,suitable for ~ ,~에 적합한
11,wet ,v. 적시다
11,durability ,n. 내구성
12,ultimately ,"adv. 결국, 끝내 "
12,durable ,"a. 오래 견디는, 튼튼한"
12,fiber ,n. 섬유
12,line ~ up ,~을 줄 세우다
12,in ~ direction ,~한 방향으로
12,be made with ~,~로 만들어지다
12,horizontal ,"a. 가로의, 수평의"
12,vertical ,"a. 세로의, 수직의"
12,closely ,adv. 빽빽이
12,weave ,"v. 짜다, 엮다, 짜서 만들다"
12,maintain ,v. 유지하다 
12,moisture ,n. 수분
12,content ,n. 함량
12,prove ,v. 입증하다
12,excellent ,"a. 우수한, 뛰어난"
12,material ,n. 재료
12,restore ,v. 복원하다
12,relic ,n. 유물
12,collection ,n. 소장품
12,who knows? ,누가 알겠는가? (=아무도 모른다)
12,maybe ,adv. 아마도
12,gardener ,n. 정원 가꾸는 사람
12,favorite ,n. 좋아하는 것 
12,search for ~ ,~을 검색하다
12,platform ,n. 플랫폼
12,review ,n. 후기
12,gardening ,n. 원예
12,for sure ,확실히
12,extra ,a. 추가의
12,pleasure ,n. 즐거움
13,praise ,v. 칭찬하다 
13,hot ,a. 인기 있는
13,popular ,a. 인기 있는
13,attention ,"n. 주의, 주목"
13,not A but B ,A가 아니라 B 
13,spread ,v. 퍼지다 
13,sell ,v. 팔리다 
13,site ,n. (인터넷) 사이트
13,a wide range of ~,광범위한 ~
13,separate ,a. 개별적인
13,weed ,"v. 김매다, (~에서) 잡초를 뽑다"
13,dig ,v. 파다
13,firm ,"v. 다지다, 단단하게 하다"
13,ideal ,"a. 이상적인, 완벽한 "
13,thin ,a. 얇은
13,blade ,"n. (칼, 도구 등의) 날"
13,sharp ,"a. 뾰족한, 날카로운"
13,point ,n. 뾰족한 끝
13,flat ,a. 평평한[편평한]
13,comfortable ,a. 편안한 
13,blacksmith ,n. 대장장이
13,tend ,v. 돌보다
13,pain ,n. 통증
13,manufacture ,"v. 제조하다, 생산하다"
13,hammer ,v. 망치질하다
13,several times ,"두서너 번, 수차례"
13,by hand ,손으로
13,elaborate ,a. 정교한
13,differentiate A from B,A를 B와 차별화하다
13,reputation ,"n. 평판, 명성"
13,potential ,"n. 가능성, 잠재력"
14,unique ,a. 독특한 
14,traditional ,a. 전통적인 
14,heating system ,난방 체계
14,thousands of ~ ,수천의 ~
14,warm,v. 따뜻하게 하다
14,different from ~,~와 다른
14,commonly ,adv. 흔히
14,most other ~ ,대부분의 다른 ~
14,device ,n. 장치
14,entire ,a. 전체의
14,usually ,adv. 보통
14,be covered with ~,~으로 덮여 있다
14,layer ,"n. 층, 겹"
14,clay ,"n. 점토, 찰흙"
14,heat ~ up ,~을 가열하다
14,heated ,a. 가열된
14,raise ,v. 올리다
15,transportation,"n. 교통수단, 차량"
15,happen,"v. 일어나다, 발생하다"
15,certain,a. 확실한
15,enable,v. 가능하게 하다
15,distance,n. 거리
15,underwater,a. 수중의
15,ride,v. 타다
15,spend,v. (시간)을 보내다
15,wonder,v. 궁금해하다
15,actually,adv. 실제로 
15,achieve,"v. 이뤄내다, 달성하다"
15,challenging,a. (어렵지만) 도전해 볼만한
15,shoot a video,동영상을 촬영하다
15,view ,"n. 경관, 전망"
15,fantastic,a. 환상적인
15,windy,a. 바람이 부는
15,league ,n. (스포츠 경기의) 리그
15,fair ,n. 박람회
15,sign up,"신청하다, 등록하다 "
15,control,"v. ~을 제어하다, 컨트롤하다"
15,look forward to+동명사,~ 하기를 고대하다
15,compete,"v. (경기?대회 등에서) 겨루다, 경쟁하다"
15,player,n. 선수 
15,discover,v. 알아내다
15,technology,n. 기술
15,affect,v. 영향을 미치다
16,heat,v. ~을 데우다
16,microwave,n. 전자레인지
16,take part in ~,~에 참여하다
16,communicate,v. 소통하다
16,put on ~,~을 착용하다
16,inconvenient,a. 불편한
16,space,n. 우주
16,item,n. 물건
16,develop,v. 개발하다
16,guess,v. 추측하다
16,significant,a. 중요한
16,concern ,n. 관심사
16,nutritious ,a. 영양이 풍부한
16,prepare,v. 준비하다
16,rely on ~,~에 의존하다
16,pre-packed,a. 포장된 
16,dried ,a. 건조된
16,canned ,a. 통조림 한
16,variety,n. 다양성
16,nutritional value,영양가
16,actively,adv. 활발히
16,preparation,n. 준비
16,presentation,n. 발표
16,title,n. 제목
16,GPS,n. 위성항법장치
16,originate,v. 유래하다
16,background,n. 배경
17,originate from ~,~로부터 유래하다
17,realize ,"v. ~을 깨닫다, ~을 실현하다 "
17,enormous ,a. 엄청난
17,invent ,v. ~을 발명하다 
17,integrate ~ into …,~을 …에 통합시키다
17,daily life ,"일상생활, 일상사"
17,memory foam ,n. 메모리폼
17,initially ,"adv. 처음에, 초반에"
17,minimize ,v. ~을 최소화하다
17,gravity ,n. 중력
17,astronaut ,n. 우주비행사
17,takeoff ,n. 이륙
17,landing ,n. 착륙
17,absorb ,v. ~을 흡수하다
17,shock ,n. 충격 
17,shape ,"n. 모양, 형태 "
17,in reaction to ~,~에 반응하여
17,match ,v. ~에 맞추다
17,lift ,v. ~을 해제[제거]하다
17,gradually ,"adv. 서서히, 점차적으로"
17,return to ~ ,~로 돌아가다
17,original ,a. 원래의
17,characteristic ,"n. 특징, 특성 "
17,improved ,"a. 향상된, 개선된"
17,protection ,n. 보호
17,comfort ,n. 편안함
17,introduce ~ into …,~을 …에 도입하다
17,public domain ,"n. 공유 영역(모든 사람이 보거나 사용할 수 있는 정보, 제품 등의 관심 분야)"
17,a number of ~ ,다수의 ~
18,purifier ,n. 정화기 
18,exploration ,"n. 탐험, 탐사"
18,load ,v. ~을 싣다
18,sufficient ,a. 충분한 
18,amount ,n. 양 
18,spacecraft ,n. 우주선
18,hit upon ~ ,~을 (우연히) 생각해내다
18,wastewater ,n. 폐수
18,harmful ,a. 해로운 
18,bacteria ,n. 박테리아들 
18,remove ,v. ~을 제거하다 
18,purification ,"n. 정화, 정제"
18,successfully ,adv. 성공적으로
18,continued ,a. 계속되는 
18,lead to ~ ,"~로 이어지다, ~을 초래하다"
18,invention ,n. 발명; 발명품
18,cartridge ,n. 카트리지(갈아 끼우기 간편한 작은 용기)
18,mission ,n. (우주선의) 비행 (임무)
18,replace ,v. ~을 교체하다
18,frequently ,"adv. 자주, 빈번하게"
18,market ,v. ~을 판매하다
18,domestic ,a. 가정용의
18,everyday ,a. 매일의
18,reliable ,a. 믿을 수 있는
18,source ,"n. 원천, 근원"
18,vital ,"a. 필수적인, 매우 중요한"
18,cultivate ,v. ~을 재배하다
18,major ,a. 주요한
18,obstacle ,"n. 장애(물), 방해(물)"
